#,Token,Name,Contract,Announcement,contract_link,Creator,txn,tnx_link,Transaction Hash,Status,startBlock
12,Graph Token (GRT)The Graph is an indexing protocol and global API for organizing blockchain data and making it easily accessible with GraphQL.,Token Graph Token,0x5fe2b58c013d7601147dcdd68c143a77499f5531,,https://polygonscan.com/address/0x5fe2b58c013d7601147dcdd68c143a77499f5531,0x63ec5767f54f6943750a70eb6117ea2d9ca77313 at txn 0x59017b0e867326ef1a5b63c3ed965a8879bca024472bf473a656b8174792afad,0x59017b0e867326ef1a5b63c3ed965a8879bca024472bf473a656b8174792afad,https://polygonscan.com/tx/0x59017b0e867326ef1a5b63c3ed965a8879bca024472bf473a656b8174792afad,0x59017b0e867326ef1a5b63c3ed965a8879bca024472bf473a656b8174792afad,Success,11336123
13,"Crypto.com Coin (CRO)Pay and be paid in crypto anywhere, with any crypto, for free.",Token Crypto.com Coin,0xada58df0f643d959c2a47c9d4d4c1a4defe3f11c,,https://polygonscan.com/address/0xada58df0f643d959c2a47c9d4d4c1a4defe3f11c,0x63ec5767f54f6943750a70eb6117ea2d9ca77313 at txn 0xe621e454c6a59e3295137e51d51c12246ddf51f2c2e982857655b6c6d6e537c1,0xe621e454c6a59e3295137e51d51c12246ddf51f2c2e982857655b6c6d6e537c1,https://polygonscan.com/tx/0xe621e454c6a59e3295137e51d51c12246ddf51f2c2e982857655b6c6d6e537c1,0xe621e454c6a59e3295137e51d51c12246ddf51f2c2e982857655b6c6d6e537c1,Success,14862888
14,"Fantom Token (FTM)Fantom is a high-performance, scalable, customizable, and secure smart-contract platform. It is designed to overcome the limitations of previous generation blockchain platforms. Fantom is permissionless, decentralized, and open-source.",Token Fantom Token,0xc9c1c1c20b3658f8787cc2fd702267791f224ce1,,https://polygonscan.com/address/0xc9c1c1c20b3658f8787cc2fd702267791f224ce1,0x63ec5767f54f6943750a70eb6117ea2d9ca77313 at txn 0xad4eec259742c3821eae07ff764d400b6d8816845e0ba9e64b5e9beb019c0852,0xad4eec259742c3821eae07ff764d400b6d8816845e0ba9e64b5e9beb019c0852,https://polygonscan.com/tx/0xad4eec259742c3821eae07ff764d400b6d8816845e0ba9e64b5e9beb019c0852,0xad4eec259742c3821eae07ff764d400b6d8816845e0ba9e64b5e9beb019c0852,Success,11666251
15,Maker (MKR)Maker is a Decentralized Autonomous Organization that creates and insures the dai stablecoin on the Ethereum blockchain,Token Maker,0x6f7C932e7684666C9fd1d44527765433e01fF61d,,https://polygonscan.com/address/0x6f7C932e7684666C9fd1d44527765433e01fF61d,0x63ec5767f54f6943750a70eb6117ea2d9ca77313 at txn 0x63b7f73ab935fa730f714171961258f92e4aa0208e4321928990d71c13aec513,0x63b7f73ab935fa730f714171961258f92e4aa0208e4321928990d71c13aec513,https://polygonscan.com/tx/0x63b7f73ab935fa730f714171961258f92e4aa0208e4321928990d71c13aec513,0x63b7f73ab935fa730f714171961258f92e4aa0208e4321928990d71c13aec513,Success,12032628
16,"Amp (AMP)Amp is a digital collateral token designed to facilitate fast and efficient value transfer, especially for use cases that prioritize security and irreversibility. Using Amp as collateral, individuals and entities benefit from instant, verifiable assurances for any kind of asset exchange.",Token Amp,0x0621d647cecbfb64b79e44302c1933cb4f27054d,,https://polygonscan.com/address/0x0621d647cecbfb64b79e44302c1933cb4f27054d,0x63ec5767f54f6943750a70eb6117ea2d9ca77313 at txn 0x2c1d29ea45d18e4fbe154073ffe63e8655f6555ad700cc26b2878bc8caa683ed,0x2c1d29ea45d18e4fbe154073ffe63e8655f6555ad700cc26b2878bc8caa683ed,https://polygonscan.com/tx/0x2c1d29ea45d18e4fbe154073ffe63e8655f6555ad700cc26b2878bc8caa683ed,0x2c1d29ea45d18e4fbe154073ffe63e8655f6555ad700cc26b2878bc8caa683ed,Success,9778738
17,Bitfinex LEO Token (LEO)A utility token designed to empower the Bitfinex community and provide utility for those seeking to maximize the output and capabilities of the Bitfinex trading platform.,Token Bitfinex LEO Token,0x06d02e9d62a13fc76bb229373fb3bbbd1101d2fc,,https://polygonscan.com/address/0x06d02e9d62a13fc76bb229373fb3bbbd1101d2fc,0x63ec5767f54f6943750a70eb6117ea2d9ca77313 at txn 0xc8f657bc052feb87c1c1ed8f76365dcdfd93363f064315a8e634da22da0ea28a,0xc8f657bc052feb87c1c1ed8f76365dcdfd93363f064315a8e634da22da0ea28a,https://polygonscan.com/tx/0xc8f657bc052feb87c1c1ed8f76365dcdfd93363f064315a8e634da22da0ea28a,0xc8f657bc052feb87c1c1ed8f76365dcdfd93363f064315a8e634da22da0ea28a,Success,14283051
18,HuobiToken (HT)Huobi Global is a world-leading cryptocurrency financial services group.,Token HuobiToken,0xfad65eb62a97ff5ed91b23afd039956aaca6e93b,,https://polygonscan.com/address/0xfad65eb62a97ff5ed91b23afd039956aaca6e93b,0x63ec5767f54f6943750a70eb6117ea2d9ca77313 at txn 0xffab13afb9bc0fa0c1ee8df7cad8c751e6ee28bed48bf988b995ff8288ac4b8b,0xffab13afb9bc0fa0c1ee8df7cad8c751e6ee28bed48bf988b995ff8288ac4b8b,https://polygonscan.com/tx/0xffab13afb9bc0fa0c1ee8df7cad8c751e6ee28bed48bf988b995ff8288ac4b8b,0xffab13afb9bc0fa0c1ee8df7cad8c751e6ee28bed48bf988b995ff8288ac4b8b,Success,15732705
19,"(PoS) Compound (COMP)Compound is an algorithmic, autonomous interest rate protocol built for developers, to unlock a universe of open financial applications.",Token (PoS) Compound,0x8505b9d2254a7ae468c0e9dd10ccea3a837aef5c,,https://polygonscan.com/address/0x8505b9d2254a7ae468c0e9dd10ccea3a837aef5c,0xdcfae11c70f1575fab9d6bd389a6188ae5524a56 at txn 0x76927ddbe75fab8684ddfc315d8f64cb4c0472dbbfe20a72380d36380d77c932,0x76927ddbe75fab8684ddfc315d8f64cb4c0472dbbfe20a72380d36380d77c932,https://polygonscan.com/tx/0x76927ddbe75fab8684ddfc315d8f64cb4c0472dbbfe20a72380d36380d77c932,0x76927ddbe75fab8684ddfc315d8f64cb4c0472dbbfe20a72380d36380d77c932,Success,4196299
20,"SushiToken (PoS) (SUSHI)Be a DeFi Chef with Sushi. Swap, earn, stack yields, lend, borrow, leverage all on one decentralized, community driven platform.",Token SushiToken (PoS),0x0b3f868e0be5597d5db7feb59e1cadbb0fdda50a,,https://polygonscan.com/address/0x0b3f868e0be5597d5db7feb59e1cadbb0fdda50a,0x63ec5767f54f6943750a70eb6117ea2d9ca77313 at txn 0x6a299a4994dfbc74c841cc2ece6d7b9dfeb26943fdf2b994a7fb29ec8d4f5712,0x6a299a4994dfbc74c841cc2ece6d7b9dfeb26943fdf2b994a7fb29ec8d4f5712,https://polygonscan.com/tx/0x6a299a4994dfbc74c841cc2ece6d7b9dfeb26943fdf2b994a7fb29ec8d4f5712,0x6a299a4994dfbc74c841cc2ece6d7b9dfeb26943fdf2b994a7fb29ec8d4f5712,Success,10461221
21,"Celsius (CEL)A new way to earn, borrow, and pay on the blockchain.!",Token Celsius,0xd85d1e945766fea5eda9103f918bd915fbca63e6,,https://polygonscan.com/address/0xd85d1e945766fea5eda9103f918bd915fbca63e6,0x63ec5767f54f6943750a70eb6117ea2d9ca77313 at txn 0x31d47842d6a52f8dab8a391affcf5560b7b11ce0d1ef54791df4a924e9c069ae,0x31d47842d6a52f8dab8a391affcf5560b7b11ce0d1ef54791df4a924e9c069ae,https://polygonscan.com/tx/0x31d47842d6a52f8dab8a391affcf5560b7b11ce0d1ef54791df4a924e9c069ae,0x31d47842d6a52f8dab8a391affcf5560b7b11ce0d1ef54791df4a924e9c069ae,Success,9778661
22,"Wrapped UST Token (UST)The Terra blockchain is secured through distributed consensus over native staked asset Luna, and supports the issuance of price-tracking stablecoins (TerraKRW, TerraUSD, etc.) that are pegged to major world currencies.",Token Wrapped UST Token,0x692597b009d13c4049a947cab2239b7d6517875f,,https://polygonscan.com/address/0x692597b009d13c4049a947cab2239b7d6517875f,0x63ec5767f54f6943750a70eb6117ea2d9ca77313 at txn 0x02ed4aa60a938262d8fa5949158a9ee75691b9bfbe042ce048dca32b2055c996,0x02ed4aa60a938262d8fa5949158a9ee75691b9bfbe042ce048dca32b2055c996,https://polygonscan.com/tx/0x02ed4aa60a938262d8fa5949158a9ee75691b9bfbe042ce048dca32b2055c996,0x02ed4aa60a938262d8fa5949158a9ee75691b9bfbe042ce048dca32b2055c996,Success,14066936
23,"HoloToken (HOT)Holo is a decentralized hosting platform based on Holochain, designed to be a scalable development framework for distributed applications.",Token HoloToken,0x0c51f415cf478f8d08c246a6c6ee180c5dc3a012,,https://polygonscan.com/address/0x0c51f415cf478f8d08c246a6c6ee180c5dc3a012,0x63ec5767f54f6943750a70eb6117ea2d9ca77313 at txn 0x4782193f9e585f784f69c762bd6ce5a3c32eedf7b39f873be07ecb5018e8a703,0x4782193f9e585f784f69c762bd6ce5a3c32eedf7b39f873be07ecb5018e8a703,https://polygonscan.com/tx/0x4782193f9e585f784f69c762bd6ce5a3c32eedf7b39f873be07ecb5018e8a703,0x4782193f9e585f784f69c762bd6ce5a3c32eedf7b39f873be07ecb5018e8a703,Success,12312580
24,"chiliZ (CHZ)Chiliz is the sports and fan engagement blockchain platform, that signed leading sports teams.",Token chiliZ,0xf1938ce12400f9a761084e7a80d37e732a4da056,,https://polygonscan.com/address/0xf1938ce12400f9a761084e7a80d37e732a4da056,0x63ec5767f54f6943750a70eb6117ea2d9ca77313 at txn 0x3b3541e1bb89fee515f174289dff3b3de26dded6e11ab24032b672ad6a8e0236,0x3b3541e1bb89fee515f174289dff3b3de26dded6e11ab24032b672ad6a8e0236,https://polygonscan.com/tx/0x3b3541e1bb89fee515f174289dff3b3de26dded6e11ab24032b672ad6a8e0236,0x3b3541e1bb89fee515f174289dff3b3de26dded6e11ab24032b672ad6a8e0236,Success,12312288
25,"Synthetix Network Token (PoS) (SNX)Synthetix is the backbone for derivatives trading in DeFi, allowing anyone, anywhere to gain on-chain exposure to a vast range of assets.",Token Synthetix Network Token (PoS),0x50b728d8d964fd00c2d0aad81718b71311fef68a,,https://polygonscan.com/address/0x50b728d8d964fd00c2d0aad81718b71311fef68a,0x63ec5767f54f6943750a70eb6117ea2d9ca77313 at txn 0x99168753a0f941b95099b38892aaebc189f5e519cf7c072af4171dedb59385be,0x99168753a0f941b95099b38892aaebc189f5e519cf7c072af4171dedb59385be,https://polygonscan.com/tx/0x99168753a0f941b95099b38892aaebc189f5e519cf7c072af4171dedb59385be,0x99168753a0f941b95099b38892aaebc189f5e519cf7c072af4171dedb59385be,Success,11471284
26,EnjinCoin (ENJ)Customizable cryptocurrency and virtual goods platform for gaming.,Token EnjinCoin,0x7ec26842f195c852fa843bb9f6d8b583a274a157,,https://polygonscan.com/address/0x7ec26842f195c852fa843bb9f6d8b583a274a157,0x63ec5767f54f6943750a70eb6117ea2d9ca77313 at txn 0xc0df6ce7342be9d009b85a13607f151252415f287215d2307ba0dc90b50d7567,0xc0df6ce7342be9d009b85a13607f151252415f287215d2307ba0dc90b50d7567,https://polygonscan.com/tx/0xc0df6ce7342be9d009b85a13607f151252415f287215d2307ba0dc90b50d7567,0xc0df6ce7342be9d009b85a13607f151252415f287215d2307ba0dc90b50d7567,Success,14027697
27,(PoS) yearn.finance (YFI)DeFi made simple.,Token (PoS) yearn.finance,0xda537104d6a5edd53c6fbba9a898708e465260b6,,https://polygonscan.com/address/0xda537104d6a5edd53c6fbba9a898708e465260b6,0xdcfae11c70f1575fab9d6bd389a6188ae5524a56 at txn 0x618ffe42e6c1dcbb290d5738ba442b32e13fff648c3b8953a370afe3abd93845,0x618ffe42e6c1dcbb290d5738ba442b32e13fff648c3b8953a370afe3abd93845,https://polygonscan.com/tx/0x618ffe42e6c1dcbb290d5738ba442b32e13fff648c3b8953a370afe3abd93845,0x618ffe42e6c1dcbb290d5738ba442b32e13fff648c3b8953a370afe3abd93845,Success,4196323
28,BAT (BAT)The Basic Attention Token is the new token for the digital advertising industry.,Token BAT,0x3cef98bb43d732e2f285ee605a8158cde967d219,,https://polygonscan.com/address/0x3cef98bb43d732e2f285ee605a8158cde967d219,0x63ec5767f54f6943750a70eb6117ea2d9ca77313 at txn 0x664a35f4d94e024db2cc220fc74df900f94c960ee702e10a4ca5c2586d950519,0x664a35f4d94e024db2cc220fc74df900f94c960ee702e10a4ca5c2586d950519,https://polygonscan.com/tx/0x664a35f4d94e024db2cc220fc74df900f94c960ee702e10a4ca5c2586d950519,0x664a35f4d94e024db2cc220fc74df900f94c960ee702e10a4ca5c2586d950519,Success,11336239
29,"Decentraland (MANA)Decentraland is a virtual reality platform powered by the Ethereum blockchain. Users can create, experience, and monetize content and applications.",Token Decentraland,0xa1c57f48f0deb89f569dfbe6e2b7f46d33606fd4,,https://polygonscan.com/address/0xa1c57f48f0deb89f569dfbe6e2b7f46d33606fd4,0xdcfae11c70f1575fab9d6bd389a6188ae5524a56 at txn 0x9653d8e64b5af0abb6f9c02317cdaa012b63d63a10a50e21320142c289846ec1,0x9653d8e64b5af0abb6f9c02317cdaa012b63d63a10a50e21320142c289846ec1,https://polygonscan.com/tx/0x9653d8e64b5af0abb6f9c02317cdaa012b63d63a10a50e21320142c289846ec1,0x9653d8e64b5af0abb6f9c02317cdaa012b63d63a10a50e21320142c289846ec1,Success,4196353
30,"TrueUSD (TUSD)A regulated, exchange-independent stablecoin backed 1-for-1 with US Dollars.",Token TrueUSD,0x2e1ad108ff1d8c782fcbbb89aad783ac49586756,,https://polygonscan.com/address/0x2e1ad108ff1d8c782fcbbb89aad783ac49586756,0x63ec5767f54f6943750a70eb6117ea2d9ca77313 at txn 0x1b719639aad53f7603a2f583577424bf53be221c0e9aa061c5e7439de0f5060f,0x1b719639aad53f7603a2f583577424bf53be221c0e9aa061c5e7439de0f5060f,https://polygonscan.com/tx/0x1b719639aad53f7603a2f583577424bf53be221c0e9aa061c5e7439de0f5060f,0x1b719639aad53f7603a2f583577424bf53be221c0e9aa061c5e7439de0f5060f,Success,14389937
31,Telcoin (TEL)A cryptocurrency distributed by your mobile operator and accepted everywhere.,Token Telcoin,0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,,https://polygonscan.com/address/0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,0x63ec5767f54f6943750a70eb6117ea2d9ca77313 at txn 0xc7c3dd8563ee1a1ad0e51d00bec9e71c09f05f7ad6883a67295ea91cffd332b4,0xc7c3dd8563ee1a1ad0e51d00bec9e71c09f05f7ad6883a67295ea91cffd332b4,https://polygonscan.com/tx/0xc7c3dd8563ee1a1ad0e51d00bec9e71c09f05f7ad6883a67295ea91cffd332b4,0xc7c3dd8563ee1a1ad0e51d00bec9e71c09f05f7ad6883a67295ea91cffd332b4,Success,11264036
32,OMG Network (OMG)OmiseGO (OMG) is a public Ethereum-based financial technology for use in mainstream digital wallets,Token OMG Network,0x62414d03084eeb269e18c970a21f45d2967f0170,,https://polygonscan.com/address/0x62414d03084eeb269e18c970a21f45d2967f0170,0x63ec5767f54f6943750a70eb6117ea2d9ca77313 at txn 0x6432f9af47a30fde20c684fde8f602039b65c8af6ddb708551c1d5c548b97c7b,0x6432f9af47a30fde20c684fde8f602039b65c8af6ddb708551c1d5c548b97c7b,https://polygonscan.com/tx/0x6432f9af47a30fde20c684fde8f602039b65c8af6ddb708551c1d5c548b97c7b,0x6432f9af47a30fde20c684fde8f602039b65c8af6ddb708551c1d5c548b97c7b,Success,11336173
33,Nexo (NEXO)Instant Crypto-backed Loans,Token Nexo,0x41b3966b4ff7b427969ddf5da3627d6aeae9a48e,,https://polygonscan.com/address/0x41b3966b4ff7b427969ddf5da3627d6aeae9a48e,0x63ec5767f54f6943750a70eb6117ea2d9ca77313 at txn 0x9aec2c2ef29499e7cf3b289fa94b725ae68c16c58f9fbfb2584de6bc981b3aed,0x9aec2c2ef29499e7cf3b289fa94b725ae68c16c58f9fbfb2584de6bc981b3aed,https://polygonscan.com/tx/0x9aec2c2ef29499e7cf3b289fa94b725ae68c16c58f9fbfb2584de6bc981b3aed,0x9aec2c2ef29499e7cf3b289fa94b725ae68c16c58f9fbfb2584de6bc981b3aed,Success,13340651
34,Bancor (BNT)Bancor is an on-chain liquidity protocol that enables constant convertibility between tokens. Conversions using Bancor are executed against on-chain liquidity pools using automated market makers to price and process transactions without order books or counterparties.,Token Bancor,0xc26d47d5c33ac71ac5cf9f776d63ba292a4f7842,,https://polygonscan.com/address/0xc26d47d5c33ac71ac5cf9f776d63ba292a4f7842,0x63ec5767f54f6943750a70eb6117ea2d9ca77313 at txn 0x18f5a78c6c63dafc60a7e6d55363f1bafbfe443ddcc98b44b1a715ab9f69f323,0x18f5a78c6c63dafc60a7e6d55363f1bafbfe443ddcc98b44b1a715ab9f69f323,https://polygonscan.com/tx/0x18f5a78c6c63dafc60a7e6d55363f1bafbfe443ddcc98b44b1a715ab9f69f323,0x18f5a78c6c63dafc60a7e6d55363f1bafbfe443ddcc98b44b1a715ab9f69f323,Success,11460926
35,"ZRX (ZRX)0x is an open, permissionless protocol allowing for tokens to be traded on the Ethereum blockchain.",Token ZRX,0x5559edb74751a0ede9dea4dc23aee72cca6be3d5,,https://polygonscan.com/address/0x5559edb74751a0ede9dea4dc23aee72cca6be3d5,0x63ec5767f54f6943750a70eb6117ea2d9ca77313 at txn 0x56f7b75151848edde86d84624b6ef07605d1a1bfbe64961326135886e6179ce2,0x56f7b75151848edde86d84624b6ef07605d1a1bfbe64961326135886e6179ce2,https://polygonscan.com/tx/0x56f7b75151848edde86d84624b6ef07605d1a1bfbe64961326135886e6179ce2,0x56f7b75151848edde86d84624b6ef07605d1a1bfbe64961326135886e6179ce2,Success,14389894
36,"CRV (PoS) (CRV)Curve is an exchange liquidity pool designed for: extremely efficient stablecoin trading, low risk, supplemental fee income for liquidity providers, without an opportunity cost.",Token CRV (PoS),0x172370d5cd63279efa6d502dab29171933a610af,,https://polygonscan.com/address/0x172370d5cd63279efa6d502dab29171933a610af,0x63ec5767f54f6943750a70eb6117ea2d9ca77313 at txn 0xd404ea7607eb4ce2d1adad1fbb9226eddf363afdf6c5eb897caba0c80cee96e0,0xd404ea7607eb4ce2d1adad1fbb9226eddf363afdf6c5eb897caba0c80cee96e0,https://polygonscan.com/tx/0xd404ea7607eb4ce2d1adad1fbb9226eddf363afdf6c5eb897caba0c80cee96e0,0xd404ea7607eb4ce2d1adad1fbb9226eddf363afdf6c5eb897caba0c80cee96e0,Success,11828257
37,"Paxos Standard (PAX)Paxos Standard is regulated crypto asset fully collateralized 1:1 by the U.S. dollar, approved and regulated by the NYDFS.",Token Paxos Standard,0x6f3b3286fd86d8b47ec737ceb3d0d354cc657b3e,,https://polygonscan.com/address/0x6f3b3286fd86d8b47ec737ceb3d0d354cc657b3e,0x63ec5767f54f6943750a70eb6117ea2d9ca77313 at txn 0x438cbb6aaf9b58171f460690945453202b4177e9cf332d1e2f4eae96acd5be40,0x438cbb6aaf9b58171f460690945453202b4177e9cf332d1e2f4eae96acd5be40,https://polygonscan.com/tx/0x438cbb6aaf9b58171f460690945453202b4177e9cf332d1e2f4eae96acd5be40,0x438cbb6aaf9b58171f460690945453202b4177e9cf332d1e2f4eae96acd5be40,Success,14390038
