Token,Token链接,Contract,字段2_link,name,txn,txn_link,Status,startBlock
"Binance-Peg BUSD Token (BUSD)BUSD is a 1:1 USD-backed stablecoin approved by the New York State Department of Financial Services (NYDFS), issued in partnership with Paxos.Cross-Chain",https://bscscan.com/token/0xe9e7cea3dedca5984780bafc599bd69add087d56,0xe9e7cea3dedca5984780bafc599bd69add087d56,https://bscscan.com/address/0xe9e7cea3dedca5984780bafc599bd69add087d56,Binance: BUSD Stablecoin,0x0f01fc521030f178115c880e200b09a40c9510f49de227aa880276f92670a3d6,https://bscscan.com/tx/0x0f01fc521030f178115c880e200b09a40c9510f49de227aa880276f92670a3d6,Success,124241
"Avalanche (AVAX)Avalanche is an umbrella platform for launching decentralized finance (DeFi) applications, financial assets, trading and other services.Binance Peg",https://bscscan.com/token/0x1ce0c2827e2ef14d5c4f29a091d735a204794041,0x1ce0c2827e2ef14d5c4f29a091d735a204794041,https://bscscan.com/address/0x1ce0c2827e2ef14d5c4f29a091d735a204794041,Avalanche: AVAX Token,0x87fcc792585af9ee733ee788e485b5dc22d8ad6bf0c1575e2fd816830f3dfcdb,https://bscscan.com/tx/0x87fcc792585af9ee733ee788e485b5dc22d8ad6bf0c1575e2fd816830f3dfcdb,Success,5351436
"Binance-Peg Ethereum Classic (ETC)Ethereum Classic (ETC) is a hard fork of Ethereum (ETH) that launched in July 2016. Its main function is as a smart contract network, with the ability to host and support decentralized applications (DApps). Its native token is ETC.Cross-Chain",https://bscscan.com/token/0x3d6545b08693dae087e957cb1180ee38b9e3c25e,0x3d6545b08693dae087e957cb1180ee38b9e3c25e,https://bscscan.com/address/0x3d6545b08693dae087e957cb1180ee38b9e3c25e,Ethereum Classic: ETC Token,0x5847dd73c18607eae6438ed72d7365fbce8edd573cab348a301af9a1c97ace4a,https://bscscan.com/tx/0x5847dd73c18607eae6438ed72d7365fbce8edd573cab348a301af9a1c97ace4a,Success,2337474
TRON (TRX)TRON is a blockchain-based operating system with TRX as mainnet token.,https://bscscan.com/token/0x85eac5ac2f758618dfa09bdbe0cf174e7d574d5b,0x85eac5ac2f758618dfa09bdbe0cf174e7d574d5b,https://bscscan.com/address/0x85eac5ac2f758618dfa09bdbe0cf174e7d574d5b,Tron Network: TRX Token,0x4a10a6608d3cc927460e8eda384d0bb84497dfbf3c1f7b00b7d4ff9ca3dccc18,https://bscscan.com/tx/0x4a10a6608d3cc927460e8eda384d0bb84497dfbf3c1f7b00b7d4ff9ca3dccc18,Success,6327522
"Binance-Peg Dai Token (DAI)Dai is a stable cryptocurrency supported by Maker (MKR). To ensure price stability, Dai minimizes the price volatility against the US dollar, through an incentive structure for its participants.Cross-Chain",https://bscscan.com/token/0x1af3f329e8be154074d8769d1ffa4ee058b1dbc3,0x1af3f329e8be154074d8769d1ffa4ee058b1dbc3,https://bscscan.com/address/0x1af3f329e8be154074d8769d1ffa4ee058b1dbc3,DAI Stablecoin,0x84b307b3f131f5ddac0af3b42339bbfa9b4f28a979899cd9bc334dad63233200,https://bscscan.com/tx/0x84b307b3f131f5ddac0af3b42339bbfa9b4f28a979899cd9bc334dad63233200,Success,325036
Binance-Peg EOS Token (EOS)EOS is a cryptocurrency token and blockchain that operates as a smart contract platform for the deployment of decentralized applications and decentralized autonomous corporations.Cross-Chain,https://bscscan.com/token/0x56b6fb708fc5732dec1afc8d8556423a2edccbd6,0x56b6fb708fc5732dec1afc8d8556423a2edccbd6,https://bscscan.com/address/0x56b6fb708fc5732dec1afc8d8556423a2edccbd6,EOS: EOS Token,0x6b3ba42f8266f2473ed360718532f202bd7694681ea437896a3b1950a375bcac,https://bscscan.com/tx/0x6b3ba42f8266f2473ed360718532f202bd7694681ea437896a3b1950a375bcac,Success,326753
"Binance-Peg Cosmos Token (ATOM)Cosmos is a decentralized network of independent parallel blockchains, each powered by BFT consensus algorithms like Tendermint consensus.Cross-Chain",https://bscscan.com/token/0x0eb3a705fc54725037cc9e008bdede697f62f335,0x0eb3a705fc54725037cc9e008bdede697f62f335,https://bscscan.com/address/0x0eb3a705fc54725037cc9e008bdede697f62f335,Cosmos: ATOM Token,0xfa763455b540705486499f337a12eeee5efcb72f18b1d667a9719eca860e0c69,https://bscscan.com/tx/0xfa763455b540705486499f337a12eeee5efcb72f18b1d667a9719eca860e0c69,Success,469772
PancakeSwap Token (Cake)PancakeSwap is a yield farming project whereby users can get FLIP (LP token) for staking and get CAKE token as reward. CAKE holders can swap CAKE for SYRUP for additional incentivized staking.Cross-Chain,https://bscscan.com/token/0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,https://bscscan.com/address/0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,PancakeSwap: CAKE Token,0x7dd36f3b6d38f8a6b2f2fb0c850a75d57114a1b2fdcd350eaeee609cf3d827ae,https://bscscan.com/tx/0x7dd36f3b6d38f8a6b2f2fb0c850a75d57114a1b2fdcd350eaeee609cf3d827ae,Success,693963
Binance-Peg Bitcoin Cash ABC (BCHA)Cross-Chain,https://bscscan.com/token/0xd475c9c934dcd6d5f1cac530585aa5ba14185b92,0xd475c9c934dcd6d5f1cac530585aa5ba14185b92,https://bscscan.com/address/0xd475c9c934dcd6d5f1cac530585aa5ba14185b92,Bitcoin Cash: BCHA Token,0xf7c555fcaa3caf3b876ff6deb7b962e858392811059e0ea37ffd4581f819efdd,https://bscscan.com/tx/0xf7c555fcaa3caf3b876ff6deb7b962e858392811059e0ea37ffd4581f819efdd,Success,2390930
"MIOTAC (IOTA)IOTA is a distributed ledger with its proprietary technology known as Tangle, a system of nodes that confirm transactions. It aims to offer greater speeds than conventional blockchains and an ideal footprint for the ever-expanding Internet of Things ecosystem.",https://bscscan.com/token/0xd944f1d1e9d5f9bb90b62f9d45e447d989580782,0xd944f1d1e9d5f9bb90b62f9d45e447d989580782,https://bscscan.com/address/0xd944f1d1e9d5f9bb90b62f9d45e447d989580782,IOTA: IOTA Token,0x2e559d5ffe4b3afc905cd791ba7a0509c8b7456d593e61bf5240453ab85e4051,https://bscscan.com/tx/0x2e559d5ffe4b3afc905cd791ba7a0509c8b7456d593e61bf5240453ab85e4051,Success,5351152
"Binance-Peg Tezos Token (XTZ)Tezos is a smart contract platform that uses blockchain voting to be self-governing by its token holders. Also, the platform aims to boost the security of smart contracts.Cross-Chain",https://bscscan.com/token/0x16939ef78684453bfdfb47825f8a5f714f12623a,0x16939ef78684453bfdfb47825f8a5f714f12623a,https://bscscan.com/address/0x16939ef78684453bfdfb47825f8a5f714f12623a,Tezos: XTZ Token,0xd227391eefba7856f741c0c945f10812b6d5c445ce9be4606ba95f4f3e1f9b7c,https://bscscan.com/tx/0xd227391eefba7856f741c0c945f10812b6d5c445ce9be4606ba95f4f3e1f9b7c,Success,326574
"Axie Infinity Shard (AXS)Axie Infinity is a Pokémon-inspired digital pet universe where anyone can earn tokens through skilled gameplay and contributions to the ecosystem. Players can battle, collect, raise, and build a land-based kingdom for their pets (known as Axies).Cross-Chain",https://bscscan.com/token/0x715d400f88c167884bbcc41c5fea407ed4d2f8a0,0x715d400f88c167884bbcc41c5fea407ed4d2f8a0,https://bscscan.com/address/0x715d400f88c167884bbcc41c5fea407ed4d2f8a0,Axie Infinity: AXS Token,0xbf8805f395bc8802853b4f9986ee05f416036cc87a7d2e9c4c356cab7dcffbb7,https://bscscan.com/tx/0xbf8805f395bc8802853b4f9986ee05f416036cc87a7d2e9c4c356cab7dcffbb7,Success,8886284
"Binance-Peg BTCB Token (BTCB)Bitcoin BEP2 (BTCB) is a token on Binance Chain issued by Binance, where the price is pegged to BTC at a rate of 1 BTCB = 1 BTC.Cross-Chain",https://bscscan.com/token/0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,https://bscscan.com/address/0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,Binance: BTCB Token,0x4bc779bea1874dff3434fc0b4e1d0a24dc329783f190e2adc39ee9844d213c8e,https://bscscan.com/tx/0x4bc779bea1874dff3434fc0b4e1d0a24dc329783f190e2adc39ee9844d213c8e,Success,123969
Fantom (FTM)Fantom is a directed acyclic graph (DAG) smart contract platform providing decentralized finance (DeFi) services to developers using its own bespoke consensus algorithm.,https://bscscan.com/token/0xad29abb318791d579433d831ed122afeaf29dcfe,0xad29abb318791d579433d831ed122afeaf29dcfe,https://bscscan.com/address/0xad29abb318791d579433d831ed122afeaf29dcfe,Fantom: FTM Token,0x4757913039e884d072d53349f0ca023d9c758113893b8d2adbdcac3210759766,https://bscscan.com/tx/0x4757913039e884d072d53349f0ca023d9c758113893b8d2adbdcac3210759766,Success,6327810
Binance-Peg Maker (MKR)Maker is a Decentralized Autonomous Organization that creates and insures the dai stablecoin on the Ethereum blockchainCross-Chain,https://bscscan.com/token/0x5f0da599bb2cccfcf6fdfd7d81743b6020864350,0x5f0da599bb2cccfcf6fdfd7d81743b6020864350,https://bscscan.com/address/0x5f0da599bb2cccfcf6fdfd7d81743b6020864350,,0x228c1208e4c5b1184bffc5b0518db38386030d856fba26a3ec47054a8d837f97,https://bscscan.com/tx/0x228c1208e4c5b1184bffc5b0518db38386030d856fba26a3ec47054a8d837f97,Success,923580
BitTorrent (BTT)BitTorrent is a popular peer-to-peer (P2P) file sharing and torrent platform.Binance Peg,https://bscscan.com/token/0x8595f9da7b868b1822194faed312235e43007b49,0x8595f9da7b868b1822194faed312235e43007b49,https://bscscan.com/address/0x8595f9da7b868b1822194faed312235e43007b49,BitTorrent: BTT Token,0x9ab911e21c11971eff33e1dbcb14f6d2893789d801c41c40bcf6be2c5b86e0f4,https://bscscan.com/tx/0x9ab911e21c11971eff33e1dbcb14f6d2893789d801c41c40bcf6be2c5b86e0f4,Success,6327498
SHIBA INU (SHIB)SHIBA INU is an experiment in decentralized spontaneous community building.Binance Peg,https://bscscan.com/token/0x2859e4544c4bb03966803b044a93563bd2d0dd4d,0x2859e4544c4bb03966803b044a93563bd2d0dd4d,https://bscscan.com/address/0x2859e4544c4bb03966803b044a93563bd2d0dd4d,Shiba Inu: SHIB Token,0x9f67a2903ebad4f898199aa5efddc564c127a751d7be43055955d4349b87b189,https://bscscan.com/tx/0x9f67a2903ebad4f898199aa5efddc564c127a751d7be43055955d4349b87b189,Success,7294986
"Binance-Peg Compound Coin (COMP)Compound (COMP) is an ERC-20 asset that powers the community governance of the Compound protocol; COMP token-holders and their delegates debate, propose, and vote on changes to the protocol.Cross-Chain",https://bscscan.com/token/0x52ce071bd9b1c4b00a0b92d298c512478cad67e8,0x52ce071bd9b1c4b00a0b92d298c512478cad67e8,https://bscscan.com/address/0x52ce071bd9b1c4b00a0b92d298c512478cad67e8,Compound: Comp Token,0x113e1973e956c3f5d7dedaf45fd5338dc39424f21e14eeaf767ceb2882f759a1,https://bscscan.com/tx/0x113e1973e956c3f5d7dedaf45fd5338dc39424f21e14eeaf767ceb2882f759a1,Success,923336
"Wrapped UST Token (UST)TerraUSD is a decentralized stablecoin that is scalable, yield bearing and interchain (1 UST = 1 USD)Cross-Chain",https://bscscan.com/token/0x23396cf899ca06c4472205fc903bdb4de249d6fc,0x23396cf899ca06c4472205fc903bdb4de249d6fc,https://bscscan.com/address/0x23396cf899ca06c4472205fc903bdb4de249d6fc,Mirror Protocol: UST Token,0x4fa30f451e41fa9c9adf119cfaa3ca10bd90291a98696aa99b3ce21c31170a76,https://bscscan.com/tx/0x4fa30f451e41fa9c9adf119cfaa3ca10bd90291a98696aa99b3ce21c31170a76,Success,3543549
Binance-Peg Zcash Token (ZEC)Zcash (ZEC) is a decentralized and open-source privacy-focused cryptocurrency that enables selective transparency of transactions. Zcash transactions can either be transparent or shielded through a zero-knowledge proof called zk-SNARKs.Cross-Chain,https://bscscan.com/token/0x1ba42e5193dfa8b03d15dd1b86a3113bbbef8eeb,0x1ba42e5193dfa8b03d15dd1b86a3113bbbef8eeb,https://bscscan.com/address/0x1ba42e5193dfa8b03d15dd1b86a3113bbbef8eeb,Zcash: ZEC Token,0x03ead8223393da68c0ad33413cb22888511c259f725140d0d6f8012552bd7224,https://bscscan.com/tx/0x03ead8223393da68c0ad33413cb22888511c259f725140d0d6f8012552bd7224,Success,469957
Binance-Peg Synthetix Network Token (SNX)Synthetix is a derivatives liquidity protocol on Ethereum that enables the issuance and trading of synthetic assets.Cross-Chain,https://bscscan.com/token/0x9ac983826058b8a9c7aa1c9171441191232e8404,0x9ac983826058b8a9c7aa1c9171441191232e8404,https://bscscan.com/address/0x9ac983826058b8a9c7aa1c9171441191232e8404,Synthetix: SNX Token,0xd17c43477ceb1d4caa0fa67db2cf8ccadfa62549cd94bb86d11172f10df8fb8e,https://bscscan.com/tx/0xd17c43477ceb1d4caa0fa67db2cf8ccadfa62549cd94bb86d11172f10df8fb8e,Success,1303749
Zilliqa (ZIL)Zilliqa (ZIL) is a public blockchain built on a sharded architecture. It has solved blockchain scalability and speed by implementing sharding.Cross-Chain,https://bscscan.com/token/0xb86abcb37c3a4b64f74f59301aff131a1becc787,0xb86abcb37c3a4b64f74f59301aff131a1becc787,https://bscscan.com/address/0xb86abcb37c3a4b64f74f59301aff131a1becc787,Zilliqa: ZIL Token,0x031f4a8eabc09488d750922f0f6ca704823c05d6992c787704fc09efea2fe7ad,https://bscscan.com/tx/0x031f4a8eabc09488d750922f0f6ca704823c05d6992c787704fc09efea2fe7ad,Success,5351279
"Binance-Peg yearn.finance (YFI)Yearn.finance is an aggregator service for decentralized finance (DeFi) investors, using automation to allow them to maximize profits from yield farming.Cross-Chain",https://bscscan.com/token/0x88f1a5ae2a3bf98aeaf342d26b30a79438c9142e,0x88f1a5ae2a3bf98aeaf342d26b30a79438c9142e,https://bscscan.com/address/0x88f1a5ae2a3bf98aeaf342d26b30a79438c9142e,Yearn.Finance: YFI Token,0xaa9a1789ec8239c6140951a716c46a7f05a065ff8229e7363d39e1a996a39025,https://bscscan.com/tx/0xaa9a1789ec8239c6140951a716c46a7f05a065ff8229e7363d39e1a996a39025,Success,1303952
Binance-Peg Basic Attention Token (BAT)The Basic Attention Token is the new token for the digital advertising industry.Cross-Chain,https://bscscan.com/token/0x101d82428437127bf1608f699cd651e6abf9766e,0x101d82428437127bf1608f699cd651e6abf9766e,https://bscscan.com/address/0x101d82428437127bf1608f699cd651e6abf9766e,Basic Attention: BAT Token,0xd39853249fe5876852d5168df1217f36cd9dfa5f89b5173d7d6f2c69e32f4ab6,https://bscscan.com/tx/0xd39853249fe5876852d5168df1217f36cd9dfa5f89b5173d7d6f2c69e32f4ab6,Success,1303635
"TrueUSD (TUSD)TUSD is a regulated, exchange-independent stablecoin backed 1-for-1 with US Dollars.Binance Peg",https://bscscan.com/token/0x14016e85a25aeb13065688cafb43044c2ef86784,0x14016e85a25aeb13065688cafb43044c2ef86784,https://bscscan.com/address/0x14016e85a25aeb13065688cafb43044c2ef86784,TrueUSD: TUSD Token,0xd825ae7c3ff8d99b800db14e41b3fd2d19832a8562aa31ffb8a691954ab5429b,https://bscscan.com/tx/0xd825ae7c3ff8d99b800db14e41b3fd2d19832a8562aa31ffb8a691954ab5429b,Success,6327731
SafeMoon (SAFEMOON)Safemoon protocol aims to create a self-regenerating automatic liquidity providing protocol that would pay out static rewards to holders and penalize sellers.Cross-Chain,https://bscscan.com/token/0x8076c74c5e3f5852037f31ff0093eeb8c8add8d3,0x8076c74c5e3f5852037f31ff0093eeb8c8add8d3,https://bscscan.com/address/0x8076c74c5e3f5852037f31ff0093eeb8c8add8d3,Safemoon Protocol: SAFEMOON Token,0x08278405d40de452ff8d2862a2937d9bc54a43c26a3dff735d56de77b0aca609,https://bscscan.com/tx/0x08278405d40de452ff8d2862a2937d9bc54a43c26a3dff735d56de77b0aca609,Success,5289860
"Binance-Peg NEAR Protocol (NEAR)NEAR Protocol is a decentralized application platform designed to make apps usable on the web. The network runs on a Proof-of-Stake (PoS) consensus mechanism called Nightshade, which aims to offer scalability and stable fees.Cross-Chain",https://bscscan.com/token/0x1fa4a73a3f0133f0025378af00236f3abdee5d63,0x1fa4a73a3f0133f0025378af00236f3abdee5d63,https://bscscan.com/address/0x1fa4a73a3f0133f0025378af00236f3abdee5d63,NEAR Protocol: NEAR Token,0x7a594428c9f757ef3745908a81a42368f35f3ac4bd29c740375f291083d93c53,https://bscscan.com/tx/0x7a594428c9f757ef3745908a81a42368f35f3ac4bd29c740375f291083d93c53,Success,1329761
Bancor Network Token (BNT)Bancor is an on-chain liquidity protocol that enables constant convertibility between tokens. Conversions using Bancor are executed against on-chain liquidity pools using automated market makers to price and process transactions without order books or counterparties.Binance Peg,https://bscscan.com/token/0xa069008a669e2af00a86673d9d584cfb524a42cc,0xa069008a669e2af00a86673d9d584cfb524a42cc,https://bscscan.com/address/0xa069008a669e2af00a86673d9d584cfb524a42cc,Bancor: BNT Token,0xe066b0579c1f44e393fdc0721726e77c4ca8b2dd7f9a6472369236f82e24c258,https://bscscan.com/tx/0xe066b0579c1f44e393fdc0721726e77c4ca8b2dd7f9a6472369236f82e24c258,Success,5351763
Binance-Peg Ontology Token (ONT)Ontology is a new high-performance public blockchain project & a distributed trust collaboration platform that include a series of complete distributed ledgers and smart contract systems.Cross-Chain,https://bscscan.com/token/0xfd7b3a77848f1c2d67e05e54d78d174a0c850335,0xfd7b3a77848f1c2d67e05e54d78d174a0c850335,https://bscscan.com/address/0xfd7b3a77848f1c2d67e05e54d78d174a0c850335,Ontology: ONT Token,0xdb5448d880d1426a9667ea8e93925453953e5e4fdcdfaf4171ba9c029334cfeb,https://bscscan.com/tx/0xdb5448d880d1426a9667ea8e93925453953e5e4fdcdfaf4171ba9c029334cfeb,Success,326398
Ankr (ANKR)Web3 Infrastructure for AllCross-Chain,https://bscscan.com/token/0xf307910a4c7bbc79691fd374889b36d8531b08e3,0xf307910a4c7bbc79691fd374889b36d8531b08e3,https://bscscan.com/address/0xf307910a4c7bbc79691fd374889b36d8531b08e3,,0x99e483fb19980101820b9e877483f5985e1b9d5c7d7b86b2093b1e7c81c2d197,https://bscscan.com/tx/0x99e483fb19980101820b9e877483f5985e1b9d5c7d7b86b2093b1e7c81c2d197,Success,416481
Binance-Peg Paxos Standard (PAX)Paxos Standard (PAX) is a stablecoin that allows users to exchange US dollars for Paxos Standard Tokens to 'transact at the speed of the internet'.Cross-Chain,https://bscscan.com/token/0xb7f8cd00c5a06c0537e2abff0b58033d02e5e094,0xb7f8cd00c5a06c0537e2abff0b58033d02e5e094,https://bscscan.com/address/0xb7f8cd00c5a06c0537e2abff0b58033d02e5e094,Paxos Standard: PAX Token,0x7fd3b08b3d4c05b10214c26cc4a488b699bcc60b0fff63d825aa8dfb123bb922,https://bscscan.com/tx/0x7fd3b08b3d4c05b10214c26cc4a488b699bcc60b0fff63d825aa8dfb123bb922,Success,1477245
"Coin98 (C98)Coin98 enables value transfer as easily as using the Internet by the innovation of Multi-chain Engine, Fully Automatic Liquidity and Space Gate, all in one Super Liquidity Aggregator.",https://bscscan.com/token/0xaec945e04baf28b135fa7c640f624f8d90f1c3a6,0xaec945e04baf28b135fa7c640f624f8d90f1c3a6,https://bscscan.com/address/0xaec945e04baf28b135fa7c640f624f8d90f1c3a6,Coin98: C98 Token,0x0dc7f625d9f932d946d64f0af01c38cf1f87e31a1f22b40f0fe4b12fc22953ba,https://bscscan.com/tx/0x0dc7f625d9f932d946d64f0af01c38cf1f87e31a1f22b40f0fe4b12fc22953ba,Success,9167978
"Binance-Peg IoTeX Network (IOTX)Building the Internet of Trusted Things -- Blockchain, IoT, & Privacy.Cross-Chain",https://bscscan.com/token/0x9678e42cebeb63f23197d726b29b1cb20d0064e5,0x9678e42cebeb63f23197d726b29b1cb20d0064e5,https://bscscan.com/address/0x9678e42cebeb63f23197d726b29b1cb20d0064e5,IoTeX Network: IOTX Token,0xf190a4864e0380f6c238be3394220d0c52166abc9f1c5e1672d15ff9d86a6f40,https://bscscan.com/tx/0xf190a4864e0380f6c238be3394220d0c52166abc9f1c5e1672d15ff9d86a6f40,Success,923509
